"Program","What It Is","Money Direction","Participant Pay or Cost 2026","Referral / Partner Economics","Location","Duration","Stage","Selectivity","Status 2026","Source"
"Hong Kong Working Holiday Scheme","Hong Kong offers a working holiday scheme with a small number of partner countries. The United States is NOT among Hong Kong's eligible partner countries for the Working Holiday Scheme. Commonly mislisted.","NET NEUTRAL","N/A — CLOSED to US citizens. Hong Kong's WHV partners include Australia, NZ, Japan, Ireland, Germany, and select others but not the USA.","N/A","Hong Kong","N/A","N/A","N/A","CLOSED to US citizens. Hong Kong Working Holiday Scheme does not include the United States as a partner country.","https://www.immd.gov.hk/eng/services/visas/working_holiday_scheme.html"
"Jackson Hole Mountain Resort — Ski Instructor","Ski and snowboard instruction at JHMR; Mountain Sports School hires certified and first-time instructors","YOU GET PAID","Confirmed 2026/27 wage not indexed — historical third-party sources cite ~$9.50–$15/hr base (treat as unverified). Grand Pass (JHMR) provided free for employees working 15+ hrs/wk. Spouse/dependent passes for 30+ hrs/wk employees. Limited housing for full-time staff","Unverified","Jackson Hole, WY (Teton Village)","Winter season, Nov–Apr","Post-HS / Both","Open (first-time instructors considered)","Operating — 2026/27 recruiting active per JHMR website; apply direct for current wage","https://www.jacksonhole.com/mountain-sports-school-employment"
"Big Sky Resort — Lift Operator / Ski Instructor","Lift operations and ski instruction at Big Sky Resort (Boyne Resorts-owned) in Montana","YOU GET PAID","2026/27 wage not published in indexed listings. Employee housing: 1,011 beds, ~50–60% below market rate; over 70% within walking distance of base. All-access ski pass included. Apply directly for current wage","Unverified","Big Sky, MT","Winter season, Nov–Apr","Post-HS / Both","Open","Operating — 2026/27 postings on Boyne Resorts careers site Aug 2026","https://www.bigskyresort.com/employment"
"YMCA Camp Counselor","Residential summer camp counselor at YMCA camps nationwide; cabin supervision, activity leadership, youth development","YOU GET PAID","Range: $390–$600/wk depending on YMCA branch, experience, and certifications. Examples: YMCA Camp Hanes (NC) $390/wk; YMCA DC Metro $400/wk; YMCA Central Texas $560–$600/wk; YMCA Greater Seattle $75–$90/day. All include room and board (on-site residential)","No verified system-wide referral bonus. Individual camps may offer returning-staff bonuses — ask directly","Nationwide; YMCA branch camps across all regions","Summer season, ~8–12 weeks","Post-HS (17+ min age at most)","Open","Operating — multiple 2026 postings confirmed","https://ymca-of-central-texas.breezy.hr/p/2f62073b1a7b-overnight-summer-camp-counselor"
"Camp America — General Counselor Placement","International placement agency placing mostly non-US participants in US summer camps; relevant for US residents only in limited cases (primarily an inbound program)","YOU GET PAID","Pocket money (stipend): $1,300–$2,250 total for ~9-week placement (ca. $144–$250/wk cash). Room, board, and activities provided by host camp. Participant pays registration fee (~£299–£349 for UK applicants) and arranges travel with support","Camp America has a formal referral program (pages.campamerica.com/camp-america-referral); 2026 reward amount not publicly disclosed — contact local CA office for current terms","US summer camps nationwide (program based in UK for outbound participants)","~9 weeks summer","Post-HS","Open","Operating — 2026 season completed; 2027 applications typically open Oct","https://www.campamerica.co.uk/help-centre/faqs"
"Alaska Seafood Processor (North Pacific Seafoods / Alaska General Seafoods)","Cannery line worker processing salmon during Bristol Bay season; among most accessible well-paying seasonal labor for those 18+","YOU GET PAID","$17.91/hr regular, $26.87/hr OT (after 8 hrs/day or 40 hrs/wk). 16-hr shifts possible during peak. Round-trip airfare, free housing and meals provided. Room/board at UniSea variant: $15/day deducted on days over 8 hrs. Gross for 6-week peak season at 14 hrs/day can exceed $10,000 before deductions","No verified referral bonus found in 2026 processor postings","Bristol Bay / Naknek, AK (North Pacific Seafoods, Alaska General Seafoods); Dutch Harbor (UniSea)","~4–6 weeks, mid-Jun–early Aug (salmon season)","Post-HS (must be 18)","Open","Operating — 2026 postings confirmed by North Pacific Seafoods and Alaska General Seafoods","https://northpacificseafoodsinc.hrmdirect.com/employment/job-opening.php?cust_sort1=194296&nohd=&req=3578436&req_loc=1133483"
"Alaska Commercial Fishing — Deckhand (Glacier Fish / Factory Trawler)","Vessel deckhand on commercial fishing boats; crew-share pay rather than hourly wage; highly variable income based on catch","YOU GET PAID","Crew share: $6,000–$16,000/month-equivalent gross (Glacier Fish 2026 posting for experienced deckhands, 16–25-day trips). Not a guaranteed wage — depends on vessel performance, species, quota, deductions. Entry-level applicants advised to start with cannery work first","Unverified; some vessels use word-of-mouth/crew networks","Alaska waters; Dutch Harbor, Kodiak, Naknek, and offshore","Trip-based (16–25 days); rotating year-round for permanent, seasonal slots in summer","Post-HS (18+; prior experience often required)","Competitive (experience required for most postings)","Operating — Glacier Fish posting confirmed 2026","https://jobs.lever.co/glacierfish/9026da18-1b39-4506-9fd8-51fd59b90fe2"
"Sea Education Association (SEA) — Shipboard Steward, SSV Corwith Cramer","Paid cook/steward berth aboard SEA's 134-ft brigantine research vessel; manages galley, provisions, feeds students and crew","YOU GET PAID","$2,800/month. Contracts ~3 months (May–Aug, Aug–Oct, Nov–Dec windows). Food and housing provided aboard ship or at SEA facilities while on contract. After 180 days/12 months, eligible for health/dental/vision","No referral economics documented; apply via crewemployment@sea.edu","Atlantic Ocean / Caribbean; Woods Hole, MA home port","~3-month contracts; windows May, Aug, Nov 2026","Post-HS / Both","Competitive (culinary skills, sailing interest)","Operating — steward openings actively recruited May 2026; summer slots may be filled by Aug 20, 2026","https://sea.edu/job-opportunity/shipboard-stewards-summer-2026/"
"Sea Education Association (SEA) — Proctor Ocean Classroom Program Assistant","Shipboard program assistant on Corwith Cramer for Proctor Academy high-school ocean program; fieldwork, teaching support, sailing","YOU GET PAID","$684/wk; food and housing provided while in the program. Sep 1–Nov 20, 2026 contract","No referral economics","Atlantic Ocean; Woods Hole, MA to Christiansted, St. Croix","Sep 1–Nov 20, 2026 (~11 weeks)","Post-undergrad preferred (some college or relevant experience)","Competitive","Operating — 2026 posting confirmed","https://sea.edu/job-opportunity/proctor-ocean-classroom-program-assistant-positions-fall-2026/"
"OARS — Experienced Whitewater Raft Guide","Multi-day whitewater raft guide at OARS; rivers in CA, ID, OR, CO (Dinosaur NM, Grand Canyon via permit); food provided in field","YOU GET PAID","$135+/day (one-day trips); $170–$320/day (multi-day). Plus gratuities. Guide housing/camping provided or low-cost. Health stipend after 50 days, 401(k) match. First-season: only 20–50 paid days available (not a full-season guarantee)","Unverified for OARS specifically; some outfitters offer staff referral bonuses — ask HR","CA (American R, Merced, Tuolumne), ID (Middle Fork Salmon, Main Salmon), OR (Rogue), CO (Green/Yampa in Dinosaur NM)","May–Sep summer season; first-season guides get limited days","Post-HS (must meet age and swift-water certification requirements)","Competitive (prior guiding or swift-water training required)","Operating — OARS hiring page active; most first-season guides placed before season start","https://www.oars.com/oars-jobs-for-new-guides/"
"High Country Expeditions — Raft Guide (Oregon)","Whitewater raft guide for full-day and multi-day trips on Oregon rivers; seasonal crew with training opportunities","YOU GET PAID","$155–$215/day (full-day trips); $180–$250/day (multi-day trips); certifications and leadership add premiums. Free or low-cost seasonal staff camping/housing (limited, not guaranteed)","Unverified","Oregon rivers (Deschutes, Rogue, and others)","May–Sep 2026 season","Post-HS","Competitive (prior swift-water experience helpful)","Operating — 2026 season hiring page updated Jan 2026","https://www.highcountryexpeditions.com/employment/"
"African Impact – Wildlife & Community Volunteering","South Africa-based voluntourism operator offering wildlife conservation, community development, education, and healthcare volunteer placements. Formerly one of Africa's largest independent volunteer companies. Programs in South Africa, Zimbabwe, Tanzania, Malawi.","YOU PAY","Program fees typically $1,500–$4,000 for 2–4 week placements (includes accommodation, meals, airport transfers, and project activities). Flights NOT included. All-in estimate for 2-week placement: $2,500–$5,500. Mark: unverified 2026 price – check africanimpact.com.","African Impact operates a formal partner referral and agent network. Commission rates not published publicly. Sector norm for voluntourism agents: 10–15% of program fee. Mark: practice exists, rate private.","South Africa, Zimbabwe, Tanzania, Malawi","2 weeks to 3 months (flexible)","Gap year / post-secondary, ages 18+","Open enrollment with background check","ACTIVE – Website operating; verify current program availability at africanimpact.com","https://www.africanimpact.com"
